Name,Address,Service,Lat,Long,Label
Stephens Auditorium,"1900 Center Dr, Ames, IA 50011",Arts,42.02019875,-93.63801817,S_Auditorium
Brunnier Art Museum,"Scheman Bldg, 295, 1800 Center Dr, Ames, IA 50011",Arts,42.0214767,-93.6362991,Brun_Art
Octagon Center For the Arts,"427 Douglas Ave, Ames, IA 50010",Arts,42.02541576,-93.61218984,Oct_Art
St. Cecilia Elementary School,"2900 HOOVER AVE, AMES, IA 50010",Elem_School,42.049819,-93.630113,St_C_School
Ames Christian School,"925 South 16th Street, Ames, IA 50010",Elem_School,42.00846003,-93.62339041,Ames_C_School
Coldwater Golf Links,"1400 S Grand Ave, Ames, IA 50010",Golf,42.01250369,-93.61745779,Coldwater_GC
Veenker Memorial Golf Course,"Veenker Clubhouse, 2916, Veenker Dr, Ames, IA 50011",Golf,42.0414255,-93.6473638,Veen_GC
Ames Golf & Country Club,"5752 George Washington Carver Ave, Ames, IA 50010",Golf,42.0740365,-93.6580433,Ames_GC
Community Center,"515 Clark Ave, Ames, IA 50010",Gym,42.02647012,-93.61718226,Comm_Center
Ames Fitness Center - West,"4700 Mortensen Rd, Ames, IA 50014",Gym,42.01479423,-93.68368934,Fitness_West
Ames Fitness Center - North,"2622 Stange Rd #101, Ames, IA 50010",Gym,42.04820589,-93.64409733,Fitness_North
Ames Fitness Center - South,"3600 University Blvd, Ames, IA 50010",Gym,41.99164989,-93.63770843,Fitness_South
Ames High School,"1801 Ridgewood Ave, Ames, IA 50010",High_School,42.0387504,-93.6329578,Ames_HS
Ames City Hall,"515 Clark Ave, Ames, IA 50010",Historic,42.02609586,-93.61701491,City_Hall
Old Town Historic District,"307 8th St, Ames, IA 50010",Historic,42.02901363,-93.61405716,Old_Town
Iowa State University,"Iowa State University, Ames, IA 50011",ISU,42.02790455,-93.64461297,ISU
Ames Public Library,"515 Douglas Ave, Ames, IA 50010",Library,42.02618912,-93.61221923,Ames_Lib
Barr Memorial Library,"2210 Lincoln Way, Ames, IA 50014",Library,42.022698,-93.64483017,Barr_Lib
Mary Greeley Medical Center,"1111 Duff Ave, Ames, IA 50010",Medical,42.03225108,-93.61071035,MG_Hospital
Cinemark Movies 12,"1317 Buckeye Ave, Ames, IA 50010",Movies,42.01280139,-93.61148367,Cin_Movies
Reiman Gardens,"1407 University Blvd, Ames, IA 50011",Park,42.0119059,-93.6376529,R_Gardens
Ada Hayden Heritage Park,"5205 Grand Ave, Ames, IA 50010",Park,42.07304641,-93.62301649,Ada_Hayden
Furman Aquatic Center,"1635 13th St, Ames, IA 50010",Recreation,42.0359663,-93.6317508,Aquatic_Center
SouthWest Recreation Complex,"400 S Sheldon Ave, Ames, IA 50014",Recreation,42.01756798,-93.65501555,SouthWest_Rec
Community Center,"515 Clark Ave, Ames, IA 50010",Recreation,42.02647012,-93.61718226,Comm_Center
Inis Grove Park/Rec,"2500 Duff Ave, Ames, IA 50010",Recreation,42.04719835,-93.61271294,Inis_Grove
St. Thomas Aquinas Church,"2210 Lincoln Way, Ames, IA 50014",Religion,42.022698,-93.64483017,St_TA_Church
Cornerstone Church,"56829 US-30, Ames, IA 50010",Religion,42.0098539,-93.56647956,Cornerstone_Church
Christ Community Church,"5501 George Washington Carver Ave, Ames, IA 50010",Religion,42.0725463,-93.6593757,CC_Church
First Christian Church,"611 Clark Ave, Ames, IA 50010",Religion,42.02707028,-93.61703782,FC_Church
North Grand Mall/Walmart,"2801 Grand Ave, Ames, IA 50010",Shopping,42.05057284,-93.6207655,NG_Mall
Walmart SuperCenter,"534 S Duff Ave, Ames, IA 50010",Shopping,42.02081,-93.61020356,Walmart_A
Finesse Spa Salon,"2520 Chamberlain St, Ames, IA 50014",Spa,42.02150997,-93.65111411,Finesse_Spa
Massage Heights Ames,"637 Lincoln Way #103, Ames, IA 50010",Spa,42.02337358,-93.61961203,Massage_Heights_Spa
Serenity Couture Salon and Spa,"2801 Grand Ave #1150, Ames, IA 50010",Spa,42.05067886,-93.62160817,Serenity_Spa
Jack Trice Stadium,"1732 S 4th St, Ames, IA 50011",Sports_Venue,42.014055,-93.635788,JT_Stadium
The Cafe,"2616 Northridge Pkwy, Ames, IA 50010",Restaurant,42.04904072,-93.64364937,Cafe_Resto
Aunt Maude's,"547 Main St, Ames, IA 50010",Restaurant,42.02532279,-93.61907873,Aunt_Maude_Resto
Provisions Lot F,"2400 N Loop Dr, Ames, IA 50010",Restaurant,42.00118225,-93.63577958,Provisions_LotF_Resto
Wheatsfield Cooperative,"413 Northwestern Ave #105, Ames, IA 50010",Organic_Groceries,42.02535767,-93.62141737,WheatsField_Grocery
Fareway Grocery,"3619 Stange Rd, Ames, IA 50010",Organic_Groceries,42.0603338,-93.64462854,Fareway_Grocery
