SaleID,Time,Service_Arts_time,Service_Elem_School_time,Service_Golf_time,Service_Gym_time,Service_High_School_time,Service_Historic_time,Service_ISU_time,Service_Library_time,Service_Medical_time,Service_Organic_Groceries_time,Service_Park_time,Service_Recreation_time,Service_Religion_time,Service_Restaurant_time,Service_Shopping_time,Service_Spa_time,Closest_5_feature,Closest_all_feature,Central_historic_feature,num_biz_180s_feature,num_biz_480s_feature,Rcrd_Yr,Inst1_Yr,LotArea,YrBuilt,TtlBsmtSF,Fireplaces,PoolArea,GarYrBlt,Cars,GarageArea,TotalArea,TotalArea_Gar,Has_Fireplace,Has_Garage,Has_Bsmt,AsbShng_Ext,BrkComm_Ext,BrkFace_Ext,CemntBd_Ext,HdBoard_Ext,ImStucc_Ext,MetalSd_Ext,No Data_Ext,Plywood_Ext,Stone_Ext,Stucco_Ext,VinylSd_Ext,Wd Sdng_Ext,WdShing_Ext,2 Types_GrType,Attachd_GrType,Basment_GrType,BuiltIn_GrType,Carport_GrType,Detachd_GrType,No Data_GrType,None_GrType,1_Story_HsStyle,1_5_Fin_HsStyle,1_5_Unf_HsStyle,2_Story_HsStyle,2_5_Fin_HsStyle,2_5_Unf_HsStyle,No_Data_HsStyle,S_Foyer_HsStyle,S_Level_HsStyle
2,85.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,210.28000000000003,457.81111111111113,606.4,2,8,2021.0,2021.0,12493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,85.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,210.28000000000003,457.81111111111113,606.4,2,8,2021.0,2021.0,9595.0,2020.0,1487.0,1.0,0.0,2020.0,3.0,641.0,2974.0,3615.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,95.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,220.08,467.6111111111111,616.2,2,8,2021.0,2021.0,13596.0,2020.0,1545.0,1.0,0.0,2020.0,3.0,640.0,3090.0,3730.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,98.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,223.28000000000003,470.81111111111113,619.4,2,8,2021.0,2021.0,10890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
20,101.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,226.58,474.1111111111111,622.7,2,8,2021.0,2021.0,10842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22,100.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,225.58,473.1111111111111,621.7,2,8,2021.0,2021.0,10893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23,97.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,222.18,469.71111111111105,618.3,2,8,2021.0,2021.0,14396.0,2020.0,1810.0,1.0,0.0,2020.0,3.0,782.0,3610.0,4392.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,85.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,187.0,423.32222222222225,567.6,2,11,2021.0,2021.0,19234.0,2020.0,992.0,1.0,0.0,2020.0,3.0,702.0,3021.0,3723.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,87.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,189.1,425.4222222222222,569.7,2,11,2021.0,2021.0,15049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
35,85.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,187.3,423.6222222222222,567.9,2,11,2021.0,2021.0,16059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
